wall_ms,elapsed_rt_ms,kind,detail
1789420507022,990851869,hb,"recorder=1;since_fix_ms=38;fixes_this_process=470;write_failures=0;screen_on=1;doze=0;battery_saver=0;unrestricted=1;bg_restricted=0;standby_bucket=5;thermal=0;battery_pct=89;charging=0;music=0;location_on=1"
1789420512030,990856877,hb,"recorder=1;since_fix_ms=45;fixes_this_process=475;write_failures=0;screen_on=1;doze=0;battery_saver=0;unrestricted=1;bg_restricted=0;standby_bucket=5;thermal=0;battery_pct=89;charging=0;music=0;location_on=1"
1789420517037,990861883,hb,"recorder=1;since_fix_ms=53;fixes_this_process=480;write_failures=0;screen_on=1;doze=0;battery_saver=0;unrestricted=1;bg_restricted=0;standby_bucket=5;thermal=0;battery_pct=89;charging=0;music=0;location_on=1"
1789420522046,990866892,hb,"recorder=1;since_fix_ms=62;fixes_this_process=485;write_failures=0;screen_on=1;doze=0;battery_saver=0;unrestricted=1;bg_restricted=0;standby_bucket=5;thermal=0;battery_pct=88;charging=0;music=0;location_on=1"
1789420527054,990871901,hb,"recorder=1;since_fix_ms=70;fixes_this_process=490;write_failures=0;screen_on=1;doze=0;battery_saver=0;unrestricted=1;bg_restricted=0;standby_bucket=5;thermal=0;battery_pct=88;charging=0;music=0;location_on=1"
1789420532063,990876909,hb,"recorder=1;since_fix_ms=78;fixes_this_process=495;write_failures=0;screen_on=1;doze=0;battery_saver=0;unrestricted=1;bg_restricted=0;standby_bucket=5;thermal=0;battery_pct=88;charging=0;music=0;location_on=1"
1789420537072,990881919,hb,"recorder=1;since_fix_ms=84;fixes_this_process=500;write_failures=0;screen_on=1;doze=0;battery_saver=0;unrestricted=1;bg_restricted=0;standby_bucket=5;thermal=0;battery_pct=88;charging=0;music=0;location_on=1"
1789420542081,990886927,hb,"recorder=1;since_fix_ms=94;fixes_this_process=505;write_failures=0;screen_on=1;doze=0;battery_saver=0;unrestricted=1;bg_restricted=0;standby_bucket=5;thermal=0;battery_pct=88;charging=0;music=0;location_on=1"
1789420547090,990891936,hb,"recorder=1;since_fix_ms=102;fixes_this_process=510;write_failures=0;screen_on=1;doze=0;battery_saver=0;unrestricted=1;bg_restricted=0;standby_bucket=5;thermal=0;battery_pct=88;charging=0;music=0;location_on=1"
1789420552103,990896949,hb,"recorder=1;since_fix_ms=116;fixes_this_process=515;write_failures=0;screen_on=1;doze=0;battery_saver=0;unrestricted=1;bg_restricted=0;standby_bucket=5;thermal=0;battery_pct=88;charging=0;music=0;location_on=1"
1789420557111,990901958,hb,"recorder=1;since_fix_ms=124;fixes_this_process=520;write_failures=0;screen_on=1;doze=0;battery_saver=0;unrestricted=1;bg_restricted=0;standby_bucket=5;thermal=0;battery_pct=88;charging=0;music=0;location_on=1"
1789420562120,990906966,hb,"recorder=1;since_fix_ms=136;fixes_this_process=525;write_failures=0;screen_on=1;doze=0;battery_saver=0;unrestricted=1;bg_restricted=0;standby_bucket=5;thermal=0;battery_pct=88;charging=0;music=0;location_on=1"
1789420567129,990911976,hb,"recorder=1;since_fix_ms=145;fixes_this_process=530;write_failures=0;screen_on=1;doze=0;battery_saver=0;unrestricted=1;bg_restricted=0;standby_bucket=5;thermal=0;battery_pct=88;charging=0;music=0;location_on=1"
1789420572133,990916979,hb,"recorder=1;since_fix_ms=149;fixes_this_process=535;write_failures=0;screen_on=1;doze=0;battery_saver=0;unrestricted=1;bg_restricted=0;standby_bucket=5;thermal=0;battery_pct=88;charging=0;music=0;location_on=1"
1789420577138,990921984,hb,"recorder=1;since_fix_ms=152;fixes_this_process=540;write_failures=0;screen_on=1;doze=0;battery_saver=0;unrestricted=1;bg_restricted=0;standby_bucket=5;thermal=0;battery_pct=88;charging=0;music=0;location_on=1"
1789420582150,990926996,hb,"recorder=1;since_fix_ms=167;fixes_this_process=545;write_failures=0;screen_on=1;doze=0;battery_saver=0;unrestricted=1;bg_restricted=0;standby_bucket=5;thermal=0;battery_pct=88;charging=0;music=0;location_on=1"
