wall_ms,elapsed_rt_ms,kind,detail
1789420224400,990569246,hb,"recorder=1;since_fix_ms=407;fixes_this_process=187;write_failures=0;screen_on=1;doze=0;battery_saver=0;unrestricted=1;bg_restricted=0;standby_bucket=5;thermal=0;battery_pct=89;charging=0;music=0;location_on=1"
1789420229410,990574256,hb,"recorder=1;since_fix_ms=417;fixes_this_process=192;write_failures=0;screen_on=1;doze=0;battery_saver=0;unrestricted=1;bg_restricted=0;standby_bucket=5;thermal=0;battery_pct=89;charging=0;music=0;location_on=1"
1789420234417,990579263,hb,"recorder=1;since_fix_ms=422;fixes_this_process=197;write_failures=0;screen_on=1;doze=0;battery_saver=0;unrestricted=1;bg_restricted=0;standby_bucket=5;thermal=0;battery_pct=89;charging=0;music=0;location_on=1"
1789420239425,990584271,hb,"recorder=1;since_fix_ms=426;fixes_this_process=202;write_failures=0;screen_on=1;doze=0;battery_saver=0;unrestricted=1;bg_restricted=0;standby_bucket=5;thermal=0;battery_pct=89;charging=0;music=0;location_on=1"
1789420244435,990589281,hb,"recorder=1;since_fix_ms=436;fixes_this_process=207;write_failures=0;screen_on=1;doze=0;battery_saver=0;unrestricted=1;bg_restricted=0;standby_bucket=5;thermal=0;battery_pct=89;charging=0;music=0;location_on=1"
1789420249443,990594289,hb,"recorder=1;since_fix_ms=447;fixes_this_process=212;write_failures=0;screen_on=1;doze=0;battery_saver=0;unrestricted=1;bg_restricted=0;standby_bucket=5;thermal=0;battery_pct=89;charging=0;music=0;location_on=1"
1789420254451,990599297,hb,"recorder=1;since_fix_ms=460;fixes_this_process=217;write_failures=0;screen_on=1;doze=0;battery_saver=0;unrestricted=1;bg_restricted=0;standby_bucket=5;thermal=0;battery_pct=89;charging=0;music=0;location_on=1"
1789420259462,990604308,hb,"recorder=1;since_fix_ms=462;fixes_this_process=222;write_failures=0;screen_on=1;doze=0;battery_saver=0;unrestricted=1;bg_restricted=0;standby_bucket=5;thermal=0;battery_pct=89;charging=0;music=0;location_on=1"
1789420264471,990609318,hb,"recorder=1;since_fix_ms=473;fixes_this_process=227;write_failures=0;screen_on=1;doze=0;battery_saver=0;unrestricted=1;bg_restricted=0;standby_bucket=5;thermal=0;battery_pct=89;charging=0;music=0;location_on=1"
1789420269477,990614323,hb,"recorder=1;since_fix_ms=482;fixes_this_process=232;write_failures=0;screen_on=1;doze=0;battery_saver=0;unrestricted=1;bg_restricted=0;standby_bucket=5;thermal=0;battery_pct=89;charging=0;music=0;location_on=1"
1789420274491,990619338,hb,"recorder=1;since_fix_ms=495;fixes_this_process=237;write_failures=0;screen_on=1;doze=0;battery_saver=0;unrestricted=1;bg_restricted=0;standby_bucket=5;thermal=0;battery_pct=89;charging=0;music=0;location_on=1"
1789420279496,990624343,hb,"recorder=1;since_fix_ms=502;fixes_this_process=242;write_failures=0;screen_on=1;doze=0;battery_saver=0;unrestricted=1;bg_restricted=0;standby_bucket=5;thermal=0;battery_pct=89;charging=0;music=0;location_on=1"
1789420284500,990629347,hb,"recorder=1;since_fix_ms=501;fixes_this_process=247;write_failures=0;screen_on=1;doze=0;battery_saver=0;unrestricted=1;bg_restricted=0;standby_bucket=5;thermal=0;battery_pct=89;charging=0;music=0;location_on=1"
1789420289510,990634356,hb,"recorder=1;since_fix_ms=508;fixes_this_process=252;write_failures=0;screen_on=1;doze=0;battery_saver=0;unrestricted=1;bg_restricted=0;standby_bucket=5;thermal=0;battery_pct=89;charging=0;music=0;location_on=1"
1789420294518,990639364,hb,"recorder=1;since_fix_ms=525;fixes_this_process=257;write_failures=0;screen_on=1;doze=0;battery_saver=0;unrestricted=1;bg_restricted=0;standby_bucket=5;thermal=0;battery_pct=89;charging=0;music=0;location_on=1"
1789420299527,990644373,hb,"recorder=1;since_fix_ms=531;fixes_this_process=262;write_failures=0;screen_on=1;doze=0;battery_saver=0;unrestricted=1;bg_restricted=0;standby_bucket=5;thermal=0;battery_pct=89;charging=0;music=0;location_on=1"
1789420304539,990649386,hb,"recorder=1;since_fix_ms=546;fixes_this_process=267;write_failures=0;screen_on=1;doze=0;battery_saver=0;unrestricted=1;bg_restricted=0;standby_bucket=5;thermal=0;battery_pct=89;charging=0;music=0;location_on=1"
1789420309548,990654395,hb,"recorder=1;since_fix_ms=555;fixes_this_process=272;write_failures=0;screen_on=1;doze=0;battery_saver=0;unrestricted=1;bg_restricted=0;standby_bucket=5;thermal=0;battery_pct=89;charging=0;music=0;location_on=1"
1789420314557,990659403,hb,"recorder=1;since_fix_ms=564;fixes_this_process=277;write_failures=0;screen_on=1;doze=0;battery_saver=0;unrestricted=1;bg_restricted=0;standby_bucket=5;thermal=0;battery_pct=89;charging=0;music=0;location_on=1"
1789420319570,990664417,hb,"recorder=1;since_fix_ms=570;fixes_this_process=282;write_failures=0;screen_on=1;doze=0;battery_saver=0;unrestricted=1;bg_restricted=0;standby_bucket=5;thermal=0;battery_pct=89;charging=0;music=0;location_on=1"
1789420324579,990669426,hb,"recorder=1;since_fix_ms=583;fixes_this_process=287;write_failures=0;screen_on=1;doze=0;battery_saver=0;unrestricted=1;bg_restricted=0;standby_bucket=5;thermal=0;battery_pct=89;charging=0;music=0;location_on=1"
1789420329588,990674434,hb,"recorder=1;since_fix_ms=589;fixes_this_process=292;write_failures=0;screen_on=1;doze=0;battery_saver=0;unrestricted=1;bg_restricted=0;standby_bucket=5;thermal=0;battery_pct=89;charging=0;music=0;location_on=1"
1789420334597,990679443,hb,"recorder=1;since_fix_ms=603;fixes_this_process=297;write_failures=0;screen_on=1;doze=0;battery_saver=0;unrestricted=1;bg_restricted=0;standby_bucket=5;thermal=0;battery_pct=89;charging=0;music=0;location_on=1"
1789420339601,990684448,hb,"recorder=1;since_fix_ms=605;fixes_this_process=302;write_failures=0;screen_on=1;doze=0;battery_saver=0;unrestricted=1;bg_restricted=0;standby_bucket=5;thermal=0;battery_pct=89;charging=0;music=0;location_on=1"
1789420344609,990689456,hb,"recorder=1;since_fix_ms=613;fixes_this_process=307;write_failures=0;screen_on=1;doze=0;battery_saver=0;unrestricted=1;bg_restricted=0;standby_bucket=5;thermal=0;battery_pct=89;charging=0;music=0;location_on=1"
1789420349618,990694464,hb,"recorder=1;since_fix_ms=618;fixes_this_process=312;write_failures=0;screen_on=1;doze=0;battery_saver=0;unrestricted=1;bg_restricted=0;standby_bucket=5;thermal=0;battery_pct=89;charging=0;music=0;location_on=1"
